CustomerID,Recency,Frequency,Monetary
1,16,14,31926.96
2,1,26,58655.57
3,5,29,83558.38
4,1,26,71190.72
5,53,31,79387.83
6,2,23,57467.15
7,7,23,66962.21
8,22,41,122965.21
9,7,32,82957.03
10,21,23,58039.38
11,0,36,86179.12
12,5,37,87648.78
13,26,35,94781.96
14,2,25,71748.86
15,61,32,84171.8
16,1,39,105221.23
17,14,24,54148.0
18,16,33,77427.04
19,1,23,64369.02
20,15,21,55066.99
21,1,31,82621.96
22,14,40,97729.15
23,4,30,71287.23
24,9,29,64403.3
25,0,21,50554.78
26,16,38,93665.97
27,5,29,85448.41
28,20,31,77871.02
29,12,24,60279.31
30,5,27,68473.51
31,5,27,78891.45
32,5,29,66406.8
33,0,33,76425.31
34,9,34,81045.38
35,4,22,41570.65
36,0,36,93565.38
37,10,28,65832.61
38,6,27,66931.9
39,10,37,92547.18
40,2,30,78428.4
41,0,28,69194.7
42,7,27,62365.97
43,3,32,68971.73
44,0,29,58073.0
45,0,33,93365.72
46,11,29,69752.49
47,7,37,88140.47
48,15,30,78034.36
49,10,27,72104.06
50,10,35,81699.98999999999
51,3,40,98485.56
52,39,31,79990.75
53,6,29,68532.8
54,11,30,75894.05
55,1,31,78942.81
56,8,29,61995.61
57,41,23,56179.64
58,20,36,100029.99
59,0,25,60499.0
60,2,27,72951.87
61,17,31,89460.56
62,1,30,78114.55
63,3,29,70673.71
64,4,27,69795.89
65,60,22,63243.26
66,17,28,68347.68
67,5,29,74413.41
68,16,30,71409.11
69,15,36,83226.79
70,1,27,63349.08
71,15,32,70692.46
72,10,29,71973.65
73,12,29,63673.33
74,10,27,54645.49
75,15,36,86429.04000000001
76,0,33,96994.27
77,7,26,62947.56
78,0,29,65469.3
79,6,35,101214.13
80,13,26,73398.37
81,8,32,80522.62
82,3,29,69135.21
83,9,28,67588.82
84,40,30,75251.48
85,9,30,87143.20999999999
86,0,29,67327.23
87,7,33,82780.94
88,9,37,88434.64
89,20,33,91236.16
90,5,34,82860.55
91,5,28,83330.66
92,3,34,74089.12
93,2,22,45552.14
94,3,30,70259.51
95,9,32,85906.0
96,6,30,77562.2
97,0,31,63484.58
98,3,25,66373.56
99,8,28,74252.96
100,0,36,92469.0
101,1,30,81185.18
102,13,28,67891.96
103,4,30,86111.25
104,6,37,100219.62
105,4,28,80467.87
